elapsed_s,temp_c,power_mw
98.96353673934937,49.0,5151.0
99.21601724624634,49.0,5263.0
99.46869802474976,49.0,5302.0
99.72115135192871,49.5,5231.0
99.97367548942566,48.5,4735.0
100.22625637054443,49.0,5231.0
100.47884631156921,50.0,5484.0
100.73152256011963,49.0,5342.0
100.9843156337738,49.5,5263.0
101.23688983917236,50.0,5603.0
101.48964190483093,48.0,5231.0
101.74256777763367,48.5,5263.0
101.99556088447571,47.5,4815.0
102.24928879737854,47.5,3889.0
102.50206804275513,47.0,3929.0
102.75479292869568,47.5,4354.0
103.00744938850403,48.0,4119.0
103.25990343093872,48.5,5231.0
103.51445722579956,49.0,5533.0
103.77115774154663,49.5,5683.0
104.0237021446228,50.0,5493.0
104.2763786315918,49.5,5413.0
104.52889609336853,50.0,5151.0
104.78505897521973,48.5,4702.0
105.03755831718445,49.0,5191.0
105.29005169868469,50.5,5080.0
105.54244565963745,50.0,5382.0
105.79501152038574,49.5,5753.0
106.05154466629028,48.5,5191.0
106.30425429344177,49.0,5564.0
106.55699467658997,49.0,5493.0
106.8103711605072,49.0,5191.0
107.06296968460083,49.0,5271.0
107.31578207015991,49.0,5231.0
107.57756209373474,48.5,4735.0
107.84500432014465,49.5,5444.0
108.09744381904602,49.5,5783.0
108.3501205444336,49.5,5031.0
108.60265493392944,49.0,5263.0
108.85517287254333,50.0,5594.0
109.10757088661194,49.5,5334.0
109.36002707481384,48.5,4775.0
109.61262726783752,50.0,5603.0
109.86514210700989,50.0,5151.0
110.11824917793274,49.5,5342.0
110.37068295478821,49.0,5263.0
110.62337970733643,49.5,4847.0
110.87615370750427,49.5,4807.0
111.12946081161499,49.5,5000.0
111.38268542289734,49.5,4767.0
111.636314868927,49.5,4694.0
111.88974690437317,49.0,5111.0
112.14408683776855,49.0,5263.0
112.396648645401,49.0,4920.0
112.64913249015808,49.5,5183.0
112.90166449546814,49.5,5071.0
113.15433740615845,49.5,5040.0
113.40684270858765,50.5,5533.0
113.65921711921692,50.0,5564.0
113.9118664264679,50.0,5823.0
114.16469025611877,49.5,5294.0
114.41744565963745,50.5,5334.0
114.67005729675293,50.5,5524.0
114.92262268066406,49.5,5524.0
115.17523169517517,49.0,5444.0
115.42828011512756,49.0,5223.0
115.68106317520142,48.0,4038.0
115.93398833274841,47.5,3848.0
116.18671369552612,48.5,4240.0
116.439448595047,48.0,4273.0
116.69219136238098,48.5,5080.0
116.9449417591095,49.5,5080.0
117.20516800880432,49.5,5643.0
117.45780181884766,49.0,5413.0
117.71043872833252,49.5,5000.0
117.96306562423706,50.5,5564.0
118.21553611755371,50.0,5484.0
118.46821403503418,50.0,5231.0
118.72073197364807,50.0,4694.0
118.97755908966064,50.0,4702.0
119.23008060455322,50.0,5564.0
119.48262929916382,50.5,6120.0
119.73520517349243,49.5,5713.0
119.98796343803406,50.5,5793.0
120.2406005859375,50.5,5713.0
120.49324035644531,50.0,5603.0
120.74605965614319,49.5,5413.0
120.99876594543457,48.5,5231.0
121.25168657302856,48.0,4159.0
121.50957107543945,49.5,5263.0
121.76289010047913,49.5,5111.0
122.01607155799866,50.0,5040.0
122.26913738250732,49.0,5263.0
122.522057056427,49.5,5382.0
122.77505683898926,49.5,5231.0
123.0274064540863,50.0,5302.0
123.27995705604553,49.5,5413.0
123.53266167640686,50.5,5374.0
123.78546071052551,49.5,5302.0
124.03802919387817,49.5,5223.0
124.29055070877075,50.0,5231.0
124.54294180870056,49.5,4887.0
124.79598689079285,50.0,4927.0
125.04887413978577,49.5,4428.0
125.30127811431885,49.0,4468.0
125.55370783805847,49.5,4967.0
125.8122947216034,50.0,5382.0
126.06513714790344,50.0,5111.0
126.31825351715088,49.5,5374.0
126.57097125053406,50.0,5374.0
126.82447099685669,50.0,5151.0
127.07740664482117,49.5,5080.0
127.3365740776062,50.5,5382.0
127.58906483650208,50.0,5674.0
127.8417489528656,51.5,5342.0
128.0943410396576,50.0,5191.0
128.34684109687805,50.5,5524.0
128.5993468761444,50.5,5374.0
128.85250449180603,49.5,4880.0
129.11245799064636,49.5,5413.0
129.36514711380005,49.0,5263.0
129.6181342601776,49.0,3929.0
129.87097239494324,49.0,3848.0
130.12366151809692,49.0,3848.0
130.37638092041016,49.5,4387.0
130.62916564941406,48.0,4078.0
130.88509273529053,50.0,5713.0
131.13765144348145,49.5,5223.0
131.39009714126587,50.5,5793.0
131.64260816574097,50.5,5713.0
131.89510226249695,50.0,5151.0
132.14905619621277,51.0,5191.0
132.40163135528564,50.0,5151.0
132.65397882461548,49.5,4387.0
132.9064998626709,49.5,4960.0
133.15887475013733,51.5,5972.0
133.4115765094757,50.5,5594.0
133.66422843933105,51.0,6307.0
133.9186658859253,50.0,5564.0
134.1735441684723,50.5,5942.0
134.42704844474792,50.5,5493.0
134.6797423362732,50.0,5342.0
134.93246865272522,50.0,5191.0
135.18528723716736,49.5,4159.0
135.43826389312744,50.0,5040.0
135.6920485496521,49.5,5263.0
135.9447419643402,50.5,5713.0
136.1973888874054,49.5,5342.0
136.4502351284027,50.5,5191.0
136.70293140411377,50.5,5564.0
136.95538353919983,50.5,5040.0
137.20802879333496,50.5,5111.0
137.4613025188446,51.0,5863.0
137.7139549255371,50.0,5334.0
137.9667453765869,50.0,5453.0
138.2194905281067,50.5,5151.0
138.47222995758057,50.0,4807.0
138.7256064414978,49.5,4387.0
138.9781153202057,50.0,4815.0
139.2304949760437,50.0,5342.0
139.48306798934937,50.0,5040.0
139.73542308807373,50.0,5111.0
139.98790407180786,50.5,5120.0
140.24061703681946,51.0,5453.0
140.49324655532837,50.5,5191.0
140.74575352668762,50.5,5191.0
140.99847507476807,49.5,4967.0
141.25084376335144,50.5,5823.0
141.50342774391174,50.5,5713.0
141.7559690475464,51.0,5493.0
142.01004719734192,51.0,5674.0
142.26261854171753,50.5,5524.0
142.51523804664612,50.5,5302.0
142.7678346633911,50.0,5374.0
143.0205442905426,50.0,5263.0
143.27402424812317,49.5,4044.0
143.52671241760254,49.5,3923.0
143.77939414978027,49.0,3889.0
144.03202557563782,49.0,4541.0
144.28490257263184,49.5,4815.0
144.53774690628052,50.5,5382.0
144.79034328460693,50.0,5151.0
145.0428102016449,50.0,5413.0
145.29548120498657,50.5,5302.0
145.54811549186707,51.0,5453.0
145.80156707763672,50.5,5231.0
146.06062769889832,50.5,5080.0
146.31320142745972,50.0,5342.0
146.56594800949097,50.5,5191.0
146.82553791999817,50.5,5231.0
147.07783198356628,51.0,5683.0
147.33187127113342,51.0,5382.0
147.58462619781494,51.0,5683.0
147.83739066123962,50.5,5453.0
148.091787815094,51.0,5453.0
148.3447301387787,50.5,5493.0
148.59745860099792,50.5,5231.0
148.85383129119873,51.0,5151.0
149.10633420944214,50.5,5040.0
149.35899376869202,50.5,5413.0
149.61167335510254,51.0,5643.0
149.86420941352844,51.5,5453.0
150.1223464012146,51.0,5342.0
150.37643194198608,50.5,5191.0
150.63160681724548,52.0,5573.0
150.88420128822327,52.0,5793.0
151.136869430542,51.0,5674.0
151.3897247314453,51.0,5342.0
151.64196515083313,50.5,5000.0
151.89447021484375,51.5,5342.0
152.14695262908936,50.5,5040.0
152.3993308544159,51.5,4887.0
152.6522991657257,50.5,5040.0
152.90714287757874,50.5,5000.0
153.16038703918457,50.5,4694.0
153.41274619102478,51.0,5040.0
153.66616678237915,50.5,5231.0
153.92351126670837,51.0,5191.0
154.17620825767517,51.0,5111.0
154.42873764038086,51.0,5040.0
154.6814169883728,51.0,5422.0
154.93516063690186,51.5,5453.0
155.18766474723816,50.5,5151.0
155.44038367271423,51.5,5422.0
155.69292879104614,51.5,5524.0
155.94555616378784,51.5,5302.0
156.1979637145996,51.0,5342.0
156.45081448554993,51.0,5374.0
156.70603203773499,51.0,5493.0
156.9584310054779,51.0,5263.0
157.21288585662842,50.0,5080.0
157.46589875221252,49.0,3848.0
157.71854853630066,49.0,3848.0
157.97152948379517,50.0,4435.0
158.22480034828186,50.0,4735.0
158.47808814048767,50.5,5342.0
158.73095321655273,51.0,5342.0
158.98345065116882,51.5,5533.0
159.23699426651,51.0,5422.0
159.4898636341095,51.0,5564.0
159.74219155311584,51.5,5120.0
159.99538707733154,51.0,4927.0
160.24794721603394,51.0,4927.0
160.5003685951233,50.5,4508.0
160.75326490402222,51.0,5191.0
161.00666189193726,51.5,5863.0
161.25929188728333,51.5,5713.0
161.51176404953003,51.5,5643.0
161.76508045196533,51.5,5493.0
162.0251817703247,51.5,5573.0
162.27779483795166,51.5,5603.0
162.5305233001709,51.0,5342.0
162.7835714817047,49.5,4240.0
163.03635716438293,50.5,4775.0
163.28888058662415,51.0,5302.0
163.54141497612,51.0,5342.0
163.7941460609436,51.0,5453.0
164.0474660396576,52.0,5271.0
164.3001389503479,51.5,5533.0
164.55265736579895,51.5,4927.0
164.80506420135498,51.5,5713.0
165.0583896636963,51.5,5048.0
165.3107476234436,50.5,5382.0
165.56400728225708,52.0,5683.0
165.81758332252502,51.0,5342.0
166.07048916816711,50.0,4468.0
166.32954812049866,51.0,4541.0
166.58191752433777,51.0,4775.0
166.83436632156372,51.0,5231.0
